"accession_id","bio_rep_id","after_ripening","mat_temp","GR"
6013,5,105,15,0
6013,6,21,15,0
6013,6,63,15,0
6013,6,105,15,4.76190476190476
6016,1,21,21,12.3456790123457
6016,1,63,21,39.3617021276596
6016,1,105,21,62.5
6016,2,21,21,41.2371134020619
6016,2,63,21,64.0449438202247
6016,2,105,21,80.7017543859649
6016,3,21,21,6.79611650485437
6016,3,63,21,19.047619047619
6016,3,105,21,40.7407407407407
6016,4,21,15,0
6016,4,63,15,0
6016,4,105,15,0
6016,5,21,15,0
6016,5,63,15,0
6016,5,105,15,0
6016,6,21,15,0
6016,6,63,15,10
6016,6,105,15,7.40740740740741
6021,1,21,21,21.6216216216216
6021,1,63,21,25.6410256410256
6021,1,105,21,66.6666666666667
6021,2,21,21,45.6140350877193
6021,2,63,21,59.0909090909091
6021,2,105,21,72.1311475409836
6021,3,21,21,64.1666666666667
6021,3,63,21,76.1904761904762
6021,3,105,21,90
6021,5,21,15,0
6021,5,63,15,0
6021,5,105,15,0
6021,6,21,15,0
6021,6,63,15,1.21951219512195
6021,6,105,15,8.45070422535211
6023,1,21,21,0
6023,1,63,21,0
6023,1,105,21,1.26582278481013
6023,2,21,21,0
6023,2,63,21,0
6023,2,105,21,2.8169014084507
6023,3,21,21,0
6023,3,63,21,0
6023,3,105,21,1.14942528735632
6023,5,21,15,0
6023,5,63,15,0
6023,5,105,15,0
6023,6,21,15,0
6023,6,63,15,0
6023,6,105,15,0
6024,1,21,21,0
6024,1,63,21,0
6024,1,105,21,0
6024,2,21,21,0
6024,2,63,21,1.31578947368421
6024,2,105,21,2.32558139534884
6024,3,21,21,0
6024,3,63,21,2.66666666666667
6024,3,105,21,1.63934426229508
6024,4,21,15,0
6024,4,63,15,0
6024,4,105,15,0
6024,5,21,15,0
6024,5,63,15,0
6024,5,105,15,0
6024,6,21,15,0
6024,6,63,15,0
6024,6,105,15,0
6025,1,21,21,100
6025,1,63,21,100
6025,1,105,21,100
6025,2,21,21,100
6025,2,63,21,100
6025,2,105,21,100
6025,3,21,21,100
6025,3,63,21,100
6025,3,105,21,100
6025,5,21,15,100
6025,5,63,15,100
6025,5,105,15,100
6025,6,21,15,100
6025,6,63,15,100
6025,6,105,15,100
6030,1,21,21,7.07964601769912
6030,1,63,21,81.1764705882353
6030,1,105,21,84.9315068493151
6030,2,21,21,31.858407079646
6030,2,63,21,46.1538461538462
6030,2,105,21,64.0625
6030,3,21,21,61
6030,3,63,21,77.027027027027
6030,3,105,21,83.1168831168831
6030,4,21,15,57.1428571428571
6030,4,63,15,48.7179487179487
6030,4,105,15,66
6030,5,21,15,52.6315789473684
6030,5,63,15,35.0649350649351
6030,5,105,15,68.4210526315789
6030,6,21,15,51.6666666666667
6030,6,63,15,53.448275862069
6030,6,105,15,89.3617021276596
6034,1,21,21,23.7623762376238
6034,1,63,21,75
6034,1,105,21,46.7741935483871
6034,2,21,21,28.7234042553192
6034,2,63,21,81.5384615384615
6034,2,105,21,84.9056603773585
6034,3,21,21,84.297520661157
6034,3,63,21,92.5
6034,3,105,21,94.9152542372881
6034,4,21,15,22
6034,4,63,15,41.5384615384615
6034,4,105,15,75.5555555555556
6034,5,21,15,23.4375
6034,5,63,15,21.1538461538462
6034,5,105,15,24.2424242424242
6034,6,21,15,11.5044247787611
6034,6,63,15,36.7088607594937
6034,6,105,15,47.6923076923077
6036,1,21,21,100
6036,1,63,21,100
6036,1,105,21,100
6036,2,21,21,100
6036,2,63,21,100
6036,2,105,21,100
6036,3,21,21,100
6036,3,63,21,100
6036,3,105,21,100
6036,5,21,15,4.0983606557377
6036,5,63,15,31.9444444444444
